16/06/2009,Reference: 042000000715D000009560B,8.75,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009560A,8.75,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009560{,8.7,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009559I,8.7,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009559H,8.66,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009559G,8.65,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009559F,8.55,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009559E,8.45,AMAZON.CO.UK,BOOKS AMAZON EU
17/06/2009,Reference: 042000000715D000009559D,8.33,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009559C,8.1,AMAZON.CO.UK,BOOKS AMAZON EU
17/06/2009,Reference: 042000000715D000009559B,7.88,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009559A,7.69,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009559{,7.58,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009558I,7.48,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009558H,7.48,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009558G,7.25,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009558F,7.2,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009558E,7.05,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009558D,6.85,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009558C,6.78,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009558B,6.78,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
15/06/2009,Reference: 042000000715D000009558A,6.74,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009558{,6.53,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009557I,6.32,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009557H,5.99,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009557G,5.99,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009557F,5.63,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009557E,4.85,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009557D,4.83,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009557C,4.75,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009557B,4.7,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009557A,4.5,AMAZON.CO.UK,BOOKS AMAZON EU
16/06/2009,Reference: 042000000715D000009557{,4.47,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009556I,4.25,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009556H,-4.22,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009556G,4.19,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
